window_idx,start_date,end_date,duration_days,start_value,end_value,pnl,pnl_pct,sharpe_ratio,max_drawdown,max_drawdown_len,total_return,annual_return,total_trades,won_trades,lost_trades,win_rate,avg_win,avg_loss
1,2010-06-06 22:00:00,2010-12-06 22:00:00,183,100000.0,100937.91043175,937.9104317500023,0.9379104317500023,,1.8374666905205934,113993,,,55,35,20,63.63636363636363,83.94995522857153,-100.01690006250001
2,2010-09-06 22:00:00,2011-03-06 22:00:00,181,100000.0,101351.8890685,1351.8890684999933,1.3518890684999931,-8.881898219536831,0.6350151464385902,36264,,,60,36,24,60.0,51.35400482638876,-20.702296052083337
3,2010-12-06 22:00:00,2011-06-06 22:00:00,182,100000.0,99764.75063050006,-235.249369499943,-0.23524936949994296,-14.38923277950897,1.855390223947281,76622,,,53,31,22,58.490566037735846,62.32149966935468,-81.37817876136357
4,2011-03-06 22:00:00,2011-09-06 22:00:00,184,100000.0,97949.7100382501,-2050.289961749906,-2.050289961749906,,3.731260482616704,159679,,,45,25,20,55.55555555555556,126.83907815999993,-271.60675463749936
5,2011-06-06 22:00:00,2011-12-06 22:00:00,183,100000.0,104558.125531,4558.125530999998,4.558125530999998,,2.5575381476065746,39781,,,48,31,17,64.58333333333334,224.76588179032274,-141.74216497058816
6,2011-09-06 22:00:00,2012-03-06 22:00:00,182,100000.0,103473.26354499994,3473.263544999936,3.473263544999936,0.49919074995902285,1.803387840517124,31233,,,51,31,20,60.78431372549019,135.77575636290302,-32.20442476250023
7,2011-12-06 22:00:00,2012-06-06 22:00:00,183,100000.0,102491.39165300001,2491.3916530000133,2.4913916530000133,0.22927860678854622,1.0854790696414838,32262,,,50,30,20,60.0,112.84330284166633,-44.69537161249972
8,2012-03-06 22:00:00,2012-09-06 22:00:00,184,100000.0,103655.93545325003,3655.9354532500292,3.655935453250029,,1.1925881448576126,37142,,,50,30,20,60.0,150.9258999083328,-46.48207809999958
9,2012-06-06 22:00:00,2012-12-06 22:00:00,183,100000.0,102926.51553675011,2926.515536750114,2.926515536750114,,1.2100262869698222,45288,,,53,25,28,47.16981132075472,144.19708684999966,-24.228986946428442
10,2012-09-06 22:00:00,2013-03-06 22:00:00,181,100000.0,102700.05344675013,2700.0534467501275,2.700053446750127,11.38777713979224,1.3501819993246496,54569,,,49,23,26,46.93877551020408,153.82450465217335,-32.22731385576887
11,2012-12-06 22:00:00,2013-06-06 22:00:00,182,100000.0,102039.45642950005,2039.4564295000455,2.0394564295000457,0.03902794881537531,1.3602137261934955,88257,,,52,35,17,67.3076923076923,75.32200704999967,-34.078376838235066
12,2013-03-06 22:00:00,2013-09-06 22:00:00,184,100000.0,100884.02034249996,884.0203424999636,0.8840203424999635,,0.6466049437000578,50894,,,58,39,19,67.24137931034483,38.07678183974347,-31.630218381578924
13,2013-06-06 22:00:00,2013-12-06 22:00:00,183,100000.0,101817.25481624992,1817.2548162499152,1.8172548162499154,,0.64817864225048,36012,,,56,35,21,62.5,66.07906692857163,-23.595834583333243
14,2013-09-06 22:00:00,2014-03-06 22:00:00,181,100000.0,101319.67950074995,1319.6795007499459,1.3196795007499458,-0.7216842632074235,1.0964604412504375,33142,,,56,31,25,55.35714285714286,66.92411857258091,-29.949306440000186
15,2013-12-06 22:00:00,2014-06-06 22:00:00,182,100000.0,102264.21252599997,2264.212525999974,2.264212525999974,0.12924797194514495,1.3706166600185223,63127,,,55,34,21,61.81818181818181,96.94629840441179,-49.14102951190505
16,2014-03-06 22:00:00,2014-09-06 22:00:00,184,100000.0,102862.91329499995,2862.9132949999475,2.862913294999948,,1.373575886607781,39653,,,54,36,18,66.66666666666666,91.91470853472208,-27.393434847222228
17,2014-06-06 22:00:00,2014-12-06 22:00:00,183,100000.0,101241.94401300001,1241.9440130000148,1.2419440130000148,,2.8210770650549897,45631,,,52,37,15,71.15384615384616,52.93843763513499,-47.82773116666638
18,2014-09-06 22:00:00,2015-03-06 22:00:00,181,100000.0,102602.77745425001,2602.777454250012,2.602777454250012,0.2849312936608705,3.1833806865693606,40359,,,45,29,16,64.44444444444444,141.17540571551683,-76.50777884374865
19,2014-12-06 22:00:00,2015-06-06 22:00:00,182,100000.0,104813.47137199994,4813.471371999942,4.813471371999942,2.6261582477244056,3.1986938962634293,42091,,,35,24,11,68.57142857142857,236.49092647916586,-64.82013804545267
